id_tempo;anomes_iso;mes;ano;anomes_formatado
98;192309;9;1923;09/1923
99;192310;10;1923;10/1923
100;192311;11;1923;11/1923
101;192312;12;1923;12/1923
102;192400;0;1924;00/1924
103;192414;14;1924;14/1924
104;192413;13;1924;13/1924
105;192401;1;1924;01/1924
106;192402;2;1924;02/1924
107;192403;3;1924;03/1924
108;192404;4;1924;04/1924
109;192405;5;1924;05/1924
110;192406;6;1924;06/1924
111;192407;7;1924;07/1924
112;192408;8;1924;08/1924
113;192409;9;1924;09/1924
114;192410;10;1924;10/1924
115;192411;11;1924;11/1924
116;192412;12;1924;12/1924
117;192500;0;1925;00/1925
118;192514;14;1925;14/1925
119;192513;13;1925;13/1925
120;192501;1;1925;01/1925
121;192502;2;1925;02/1925
122;192503;3;1925;03/1925
123;192504;4;1925;04/1925
124;192505;5;1925;05/1925
125;192506;6;1925;06/1925
126;192507;7;1925;07/1925
127;192508;8;1925;08/1925
128;192509;9;1925;09/1925
129;192510;10;1925;10/1925
130;199013;13;1990;13/1990
131;199001;1;1990;01/1990
132;199002;2;1990;02/1990
133;199003;3;1990;03/1990
134;199004;4;1990;04/1990
135;199005;5;1990;05/1990
136;199006;6;1990;06/1990
137;199007;7;1990;07/1990
138;199008;8;1990;08/1990
139;199009;9;1990;09/1990
140;199010;10;1990;10/1990
141;199011;11;1990;11/1990
142;199012;12;1990;12/1990
143;199100;0;1991;00/1991
144;199114;14;1991;14/1991
145;199113;13;1991;13/1991
146;199101;1;1991;01/1991
147;199102;2;1991;02/1991
148;199103;3;1991;03/1991
149;199104;4;1991;04/1991
150;199105;5;1991;05/1991
151;199106;6;1991;06/1991
152;199107;7;1991;07/1991
153;199108;8;1991;08/1991
154;199109;9;1991;09/1991
155;199110;10;1991;10/1991
156;199111;11;1991;11/1991
157;199112;12;1991;12/1991
158;199200;0;1992;00/1992
159;199214;14;1992;14/1992
160;199213;13;1992;13/1992
161;199201;1;1992;01/1992
162;199202;2;1992;02/1992
163;199203;3;1992;03/1992
164;199204;4;1992;04/1992
165;199205;5;1992;05/1992
166;199206;6;1992;06/1992
167;199207;7;1992;07/1992
168;199208;8;1992;08/1992
169;199209;9;1992;09/1992
